entry_id,text,reading,selection,floor_for,assigned_upos,assigned_frames,profile_count,readingSupport,heteronym,cedict,commonness,grammarEvidence,predicate,reading_verdict,role_verdict,notes
word:離島:ㄌㄧ2-ㄉㄠ3,離島,ㄌㄧ2 ㄉㄠ3,base,commonness,NOUN,avalent,1,moe-concised,single-reading,absent,tier-3,weak-1-2,non-predicate,,,
word:邊區:ㄅㄧㄢ1-ㄑㄩ1,邊區,ㄅㄧㄢ1 ㄑㄩ1,base,readingSupport,NOUN,avalent,1,moe-revised-fallback,single-reading,absent,tier-4,weak-1-2,non-predicate,,,
word:類固醇:ㄌㄟ4-ㄍㄨ4-ㄔㄨㄣ2,類固醇,ㄌㄟ4 ㄍㄨ4 ㄔㄨㄣ2,base,,NOUN,avalent,1,moe-concised,single-reading,absent,tier-3,weak-1-2,non-predicate,,,
word:寶藏:ㄅㄠ3-ㄗㄤ4,寶藏,ㄅㄠ3 ㄗㄤ4,base,readingSupport|heteronym|cedict|commonness|grammarEvidence|predicate,NOUN,avalent,1,moe-concised,single-reading,absent,tier-3,weak-1-2,non-predicate,,,
word:籍:ㄐㄧ2,籍,ㄐㄧ2,base,,PART,avalent,1,moe-concised,single-reading,absent,tier-4,moderate-3-9,non-predicate,,,
word:議員:ㄧ4-ㄩㄢ2,議員,ㄧ4 ㄩㄢ2,base,readingSupport|heteronym|cedict|commonness|grammarEvidence|predicate,NOUN,avalent,1,moe-concised,single-reading,absent,tier-3,strong-10-plus,non-predicate,,,
word:騰出:ㄊㄥ2-ㄔㄨ1,騰出,ㄊㄥ2 ㄔㄨ1,base,,VERB,adpositional-complement|transitive,1,moe-concised,single-reading,absent,tier-4,weak-1-2,predicate,,,
word:鐵釘:ㄊㄧㄝ3-ㄉㄧㄥ1,鐵釘,ㄊㄧㄝ3 ㄉㄧㄥ1,base,commonness,NOUN,avalent,1,moe-concised,single-reading,absent,tier-4,weak-1-2,non-predicate,,,
word:體型:ㄊㄧ3-ㄒㄧㄥ2,體型,ㄊㄧ3 ㄒㄧㄥ2,base,,NOUN,avalent,1,moe-concised,single-reading,absent,tier-3,moderate-3-9,non-predicate,,,
word:靈異:ㄌㄧㄥ2-ㄧ4,靈異,ㄌㄧㄥ2 ㄧ4,base,,ADJ,intransitive,1,moe-concised,single-reading,absent,tier-4,weak-1-2,predicate,,,
